Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,d_return
3/17/2000,-0.045191994,0.018779895,0.031290158,-0.00852105,0.008308653,-0.027973852,-0.00471699,0.017889565,0.019093659,0,0.005865119,0.001202646,0.017910927,-0.02534837,-0.027973852,52.61875557,3.875,2.625,2.06071077,46.01442307,65.7290136,48.94375,50.52529762,53.86160173,24.10069402,0.418604651,0.581395349,0.776010259,-0.044186047
3/20/2000,-0.020898118,-0.045191994,0.018779895,0.031290158,0.001211387,-0.015615933,-0.051898438,-0.028641576,-0.006035021,0.008308653,0,0.005865119,0.001202646,-0.030771659,-0.02534837,49.27238634,3.125,1.625,2.029588572,46.36384614,36.14794138,49.115625,50.65565476,53.68765693,23.31090639,0.5546875,0.4453125,0.74269482,-0.020681265
3/21/2000,0.028170877,-0.020898118,-0.045191994,0.018779895,0,0.007246409,-0.009580912,-0.045863417,-0.022606555,0.001211387,0.008308653,0,0.005865119,-0.0169907,-0.030771659,53.57424248,1.0625,1.625,2.000689388,46.6992923,51.57869366,49.434375,50.90654762,53.35016775,22.70961829,0.375,0.625,0.65667603,0.028571429
3/22/2000,-0.006056954,0.028170877,-0.020898118,-0.045191994,0.012092046,0.001202646,0.008449054,-0.008378266,-0.044660771,0,0.001211387,0.008308653,0,-0.008552282,-0.0169907,52.5313092,-1.5625,1.0625,1.933675861,47.02132061,43.8382351,49.75625,51.09732143,52.89681006,22.07678325,0.4140625,0.5859375,0.583026,-0.006038647
3/23/2000,0.001214329,-0.006056954,0.028170877,-0.020898118,0.003642991,0.003642991,-0.007246409,0,-0.01682732,0.012092046,0,0.001211387,0.008308653,-0.022141126,-0.008552282,52.72950994,-1.375,1.3125,1.889306156,47.33046778,29.13752914,50.15,51.26339286,52.4737987,21.07421972,0.40625,0.59375,0.568071705,0.001215067
3/24/2000,-0.017136282,0.001214329,-0.006056954,0.028170877,0.014563364,0.009685306,0.009685306,-0.001204094,0.006042314,0.003642991,0.012092046,0,0.001211387,-0.018507623,-0.022141126,49.60666266,-2.75,1.6875,1.874891431,47.62724907,16.55533459,50.4625,51.30863095,52.03354708,20.30332901,0.559322034,0.440677966,0.564589218,-0.016990291
3/27/2000,-0.032625227,-0.017136282,0.001214329,-0.006056954,0.013933094,-0.028520222,-0.03339828,-0.03339828,-0.04428768,0.014563364,0.003642991,0.012092046,0,-0.016720647,-0.018507623,44.35313169,-2.5625,2.4375,1.915077757,47.91215911,-60.62018213,50.621875,51.16934524,51.438171,19.25143211,0.876190476,0.123809524,0.509254495,-0.032098765
3/28/2000,-0.012837147,-0.032625227,-0.017136282,0.001214329,0.010165272,0.008888947,-0.033564369,-0.038442427,-0.038442427,0.013933094,0.014563364,0.003642991,0.012092046,-0.019342963,-0.016720647,42.48931847,-2.75,1.4375,1.88096506,48,-80.87270341,50.6875,50.95535714,50.708079,18.37118818,0.941176471,0.058823529,0.377990442,-0.012755102
3/29/2000,0.039270404,-0.012837147,-0.032625227,-0.017136282,0.042990185,0.031429363,0.030153038,-0.012300278,-0.017178337,0.010165272,0.013933094,0.014563364,0.003642991,-0.001292825,-0.019342963,49.56483172,-2.4375,2.1875,1.902860413,48,-44.8104853,50.821875,50.91964286,50.13466721,17.17753813,0.637254902,0.362745098,0.258547407,0.04005168
3/30/2000,0.031787517,0.039270404,-0.012837147,-0.032625227,0.013245227,0.077056739,0.065495917,0.064219593,0.021766276,0.042990185,0.010165272,0.013933094,0.014563364,-0.00852105,-0.001292825,54.60885319,-1.8125,1.9375,1.905334669,48.27,38.10781724,51.021875,51.02589286,49.92165314,16.94505892,0.382352941,0.617647059,0.245322762,0.032298137
