Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
3/17/2000,0.007466657,0.041536101,-0.045809553,-0.039712709,0.038589984,0.05068472,0.03749764,-0.011500417,-0.001051016,0.043296867,0.006528784,0.008281635,0.039139881,-0.001093539,-0.008888948,52.24057522,-1.237809,2.694046,3.211719645,74.60608848,-0.579592959,68.17387475,69.05177944,70.19536227,19.19056787,0.63232699,0.36767301,0.305116652,0
3/20/2000,0.045698503,0.007466657,0.041536101,-0.045809553,0.036813959,0.084823222,0.096917958,0.083730878,0.034732821,0.038589984,0.043296867,0.006528784,0.008281635,-0.003129907,-0.001093539,57.39145136,-0.218437,4.004662,3.268358385,74.23142686,73.9984235,68.7017617,69.38948832,69.76617784,19.39215849,0.319716039,0.680283961,0.337472301,1
3/21/2000,-0.015345542,0.045698503,0.007466657,0.041536101,0.050920079,0.027736685,0.075745949,0.087840684,0.074653604,0.036813959,0.038589984,0.043296867,0.006528784,-0.001066594,-0.003129907,55.20556612,0.582497,3.640594,3.294946643,73.87175171,38.01921462,69.01485335,69.5729053,69.63062463,19.06656828,0.447761067,0.552238933,0.423680325,0
3/22/2000,-0.032480592,-0.015345542,0.045698503,0.007466657,0.036445634,0.012712108,-0.010471285,0.037537978,0.049632714,0.050920079,0.036813959,0.038589984,0.043296867,-0.002185883,-0.001066594,50.8915502,-3.931847,4.077477,3.350841668,73.52646356,-29.94686815,69.0658219,69.51153527,69.38656589,18.20713171,0.679104232,0.320895768,0.505880328,0
3/23/2000,0.02211782,-0.032480592,-0.015345542,0.045698503,0.041166778,0.054182102,0.030448576,0.007265182,0.055274446,0.036445634,0.050920079,0.036813959,0.038589984,0,-0.002185883,53.54016676,-3.567787,2.839669,3.314329335,73.19498694,6.797068314,69.12407155,69.59093519,69.23312836,17.74966711,0.522387792,0.477612208,0.500484608,1
3/24/2000,-0.014690759,0.02211782,-0.032480592,-0.015345542,0.00417096,0.034942649,0.047957972,0.024224447,0.001041053,0.041166778,0.036445634,0.050920079,0.036813959,-0.011560851,0,51.54427175,-3.203728,1.092178,3.155604239,72.87676938,2.383948457,69.2260083,69.56770456,69.04890471,17.32487856,0.606298954,0.393701046,0.455152733,0
3/27/2000,-0.007427061,-0.014690759,0.02211782,-0.032480592,0.011733395,-0.014737153,0.016034536,0.029049859,0.005316334,0.00417096,0.041166778,0.036445634,0.050920079,-0.001073582,-0.011560851,50.52998936,-2.694046,1.092179,3.008216722,72.57128052,-37.69816156,69.4298821,69.48622453,68.87087796,16.53218745,0.661416854,0.338583146,0.416983592,0
3/28/2000,0.001064323,-0.007427061,-0.014690759,0.02211782,0.014737153,0.026470547,0,0.030771688,0.043787012,0.011733395,0.00417096,0.041166778,0.036445634,-0.006382927,-0.001073582,50.6792916,0.145622,1.456238,2.897361099,72.27801122,-25.20582252,69.50269395,69.39226195,68.77260351,16.11582782,0.653543378,0.346456622,0.386760693,1
3/29/2000,-0.030239857,0.001064323,-0.007427061,-0.014690759,0.002157469,-0.016034536,-0.004301141,-0.030771688,0,0.014737153,0.011733395,0.00417096,0.041166778,-0.027368931,-0.006382927,46.45165537,1.164993,2.83966,2.893239592,71.99647269,-111.4910635,69.51725615,69.09719977,68.4812353,15.12335802,0.857142752,0.142857248,0.346281581,0
3/30/2000,-0.033447889,-0.030239857,0.001064323,-0.007427061,0.028075975,-0.025151666,-0.04334367,-0.031610276,-0.058080823,0.002157469,0.014737153,0.011733395,0.00417096,-0.004566218,-0.027368931,42.37311125,-3.786225,2.766853,2.884211979,71.72619571,-175.5099413,69.38255385,68.5927167,67.80162497,14.80361548,0.93442623,0.06557377,0.27350283,0
3/31/2000,0.007905149,-0.033447889,-0.030239857,0.001064323,0.015521315,0.03469844,-0.018529201,-0.036721205,-0.02498781,0.028075975,0.002157469,0.014737153,0.011733395,-0.018038836,-0.004566218,43.61708679,-3.786224,2.184357,2.834222337,71.24088524,-137.9420034,69.1313522,68.14960358,66.94307994,14.34702261,0.877049405,0.122950595,0.190462919,1
4/3/2000,-0.001125415,0.007905149,-0.033447889,-0.030239857,0.009049851,-0.007851929,0.011325196,-0.041902445,-0.06009445,0.015521315,0.028075975,0.002157469,0.014737153,-0.029990713,-0.018038836,43.47272176,-7.062759,2.548416,2.813807599,70.78469341,-154.6114349,68.7672924,67.72348041,66.02070996,14.46687424,0.760563237,0.239436763,0.146025598,0
4/4/2000,-0.063938131,-0.001125415,0.007905149,-0.033447889,0.011834506,-0.034685557,-0.051587336,-0.032410212,-0.085637853,0.009049851,0.015521315,0.028075975,0.002157469,-0.074107921,-0.029990713,36.34669143,-9.975243,7.863697,3.174513985,70.09643394,-227.9599086,68.2976551,66.95063323,64.77513358,15.83466573,0.754629662,0.245370338,0.151900048,0
4/5/2000,-0.00240388,-0.063938131,-0.001125415,0.007905149,0.048318577,0.00947876,-0.037041303,-0.053943082,-0.034765958,0.011834506,0.009049851,0.015521315,0.028075975,-0.018738802,-0.074107921,36.11485884,-7.863697,4.004658,3.233809986,68.76612674,-181.9638674,67.7078779,66.20864427,63.43032778,17.10475783,0.76388905,0.23611095,0.195181875,0
4/6/2000,0.058427801,-0.00240388,-0.063938131,-0.001125415,0.043336284,0.103378293,0.064538476,0.018018413,0.001116633,0.048318577,0.011834506,0.009049851,0.015521315,-0.010544897,-0.018738802,45.47760084,-5.752152,4.732777,3.340879058,67.56885027,-81.42476244,67.24188095,65.86954819,62.49084803,16.98487013,0.532407666,0.467592334,0.253083263,0
4/7/2000,0.027981757,0.058427801,-0.00240388,-0.063938131,0.00328409,0.064319968,0.124361977,0.08552216,0.039002097,0.043336284,0.048318577,0.011834506,0.009049851,-0.019934216,-0.010544897,49.46552657,-2.912476,2.475609,3.279074054,66.622978,-22.72941057,66.93607075,65.74819514,62.14530013,16.42133406,0.391304106,0.608695894,0.331376761,1
4/10/2000,-0.070886858,0.027981757,0.058427801,-0.00240388,0.002205057,-0.004395551,0.056640326,0.116682335,0.077842518,0.00328409,0.043336284,0.048318577,0.011834506,-0.070886858,-0.019934216,41.38171707,-6.917141,4.65997,3.377709479,66.622978,-87.12493472,66.4555114,65.22602907,61.81109,16.77157588,0.657754156,0.342245844,0.408889653,0
