Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,trough
3/29/2000,0.014388701,0.008733715,-0.008733715,0.002902771,0.023122416,0.023122416,0.031932984,0.040821967,0.034887208,0.017391813,0.014641512,0.026433266,0.017595736,-0.002928272,-0.005865046,53.23148988,0.060529,0.272384,0.307701286,10.89419406,60.25260624,10.2053169,10.3835914,10.59657358,17.65262148,0.375000516,0.624999484,0.602152192,0
3/30/2000,0.011363805,0.014388701,0.008733715,-0.008733715,0.011363805,0.03448622,0.03448622,0.043296788,0.052185772,0.023122416,0.017391813,0.014641512,0.026433266,-0.005730603,-0.002928272,55.3882439,-0.151324,0.181589,0.298693266,10.86518626,83.458471,10.2507142,10.43201522,10.58689143,16.76522431,0.26666674,0.73333326,0.593990742,0
3/31/2000,-0.017094408,0.011363805,0.014388701,0.008733715,0.014430228,-0.002861244,0.020261172,0.020261172,0.02907174,0.011363805,0.023122416,0.017391813,0.014641512,0,-0.005730603,51.5482169,0.151325,0.302649,0.298975818,10.83733877,49.79342677,10.2885453,10.4588213,10.582847,15.64105749,0.53846105,0.46153895,0.601678716,1
4/3/2000,0.042200337,-0.017094408,0.011363805,0.014388701,0.036266231,0.059255747,0.041964275,0.065086691,0.065086691,0.014430228,0.011363805,0.023122416,0.017391813,0,0,59.16947717,0.363179,0.514503,0.314370617,10.168999,144.8332564,10.3838797,10.52525994,10.62650972,15.92174423,0.068965753,0.931034247,0.646488518,0
4/4/2000,0.010958967,0.042200337,-0.017094408,0.011363805,0.008207923,0.041730657,0.064720173,0.047428702,0.070551117,0.036266231,0.014430228,0.011363805,0.023122416,-0.005509678,0,60.93415719,0.665827,0.151324,0.30272443,10.168999,187.1609383,10.45802865,10.59414854,10.71321009,16.33584183,0,1,0.704261261,0
4/5/2000,-0.010958967,0.010958967,0.042200337,-0.017094408,0,0.008207923,0.041730657,0.064720173,0.047428702,0.008207923,0.036266231,0.014430228,0.011363805,-0.013717601,-0.005509678,58.22415939,0.453973,0.151324,0.291910113,10.20652744,169.3568801,10.52612465,10.6444459,10.80866108,16.72036102,0.129031742,0.870968258,0.813386907,1
4/6/2000,0.008230442,-0.010958967,0.010958967,0.042200337,0.002728526,0,0.008207923,0.041730657,0.064720173,0,0.008207923,0.036266231,0.014430228,-0.010989075,-0.013717601,59.67276875,0.665827,0.151324,0.281868248,10.24255474,149.2491234,10.5775749,10.69690499,10.91262548,17.07741456,0.032258202,0.967741798,0.892587306,0
4/7/2000,-0.016529278,0.008230442,-0.010958967,0.010958967,0,-0.005479397,-0.008207923,0,0.033522734,0.002728526,0,0.008207923,0.036266231,-0.019418072,-0.010989075,55.52573584,0.453973,0.272383,0.28119073,10.27714095,91.80923847,10.6229722,10.72716985,10.9865818,16.739626,0.225806348,0.774193652,0.917068474,0
4/10/2000,-0.039665229,-0.016529278,0.008230442,-0.010958967,0,-0.044951382,-0.050430779,-0.053159305,-0.044951382,0,0.002728526,0,0.008207923,-0.020320084,-0.019418072,47.27076192,0.12106,0.575033,0.302179464,10.31034371,-53.46579133,10.64113115,10.71275802,10.98766531,16.34456175,0.677419045,0.322580955,0.835125574,0
4/11/2000,-0.023392877,-0.039665229,-0.016529278,0.008230442,0.005830944,-0.011560869,-0.05651225,-0.061991648,-0.064720173,0,0,0.002728526,0,-0.017699551,-0.020320084,43.30851475,-0.211854,0.302649,0.302213002,11.10721,-100.6029789,10.63053845,10.67355782,10.91173848,16.39575566,0.935483596,0.064516404,0.64874568,1
