dates,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/7/2000,-0.025429784,0.086614473,-0.040821995,0.024292693,0.002197803,0.008820344,0.06695637,0.039176806,0.069306548,0.016474837,0.004683849,0.002280503,0.005865119,-0.022247859,-0.001108033,54.84344936,4.8125,1.6875,2.419745341,50.39847171,129.6787964,52.7953125,53.73184524,55.41578734,7.369235688,0.242718447,0.757281553,0.777163017,0
6/8/2000,0.006696454,-0.025429784,0.086614473,-0.040821995,0.013438052,-0.01106206,-0.004439519,0.053696508,0.025916944,0.002197803,0.016474837,0.004683849,0.002280503,-0.001128032,-0.022247859,55.51065964,1.0625,0.8125,2.304942103,50.95659397,108.0235027,53.0078125,54.05491071,55.75385552,7.337882501,0.184466019,0.815533981,0.812215267,0
6/9/2000,-0.005577259,0.006696454,-0.025429784,0.086614473,0.007722046,0.025599617,0.001099505,0.007722046,0.065858073,0.013438052,0.002197803,0.016474837,0.004683849,-0.013378126,-0.001128032,54.78421777,3.0625,1.1875,2.225124809,51.47006646,103.4756826,53.2453125,54.32797619,56.05675325,7.540216958,0.233009709,0.766990291,0.798869747,0
6/13/2000,0.031923459,-0.005577259,0.006696454,-0.025429784,0.004333701,0.024071184,0.041948755,0.017448643,0.024071184,0.007722046,0.013438052,0.002197803,0.016474837,-0.005443672,-0.013378126,58.20089637,3,1.9375,2.20458018,51.94246114,134.5333509,53.5203125,54.75104167,56.4254329,8.040197504,0.018181818,0.981818182,0.829102913,1
6/15/2000,-0.037531999,0.031923459,-0.005577259,0.006696454,0,-0.014215658,0.005521825,0.023399396,-0.001100716,0.004333701,0.007722046,0.013438052,0.002197803,-0.021147143,-0.005443672,53.13176097,1.40625,2.125,2.198895882,52.52946503,73.86968729,53.9234375,54.94553571,56.626296,7.79951982,0.404494382,0.595505618,0.805384708,1
6/19/2000,0.033188887,-0.037531999,0.031923459,-0.005577259,0.003252035,0.017467693,0.003252035,0.022989518,0.040867089,0,0.004333701,0.007722046,0.013438052,-0.009820046,-0.021147143,56.71418385,2.4375,2.1875,2.19808189,53.05776852,117.8267467,54.3078125,55.28020833,56.89670455,7.930943401,0.06741573,0.93258427,0.824284957,1
6/20/2000,-0.016456762,0.033188887,-0.037531999,0.031923459,0.002207506,-0.015317586,-0.001101928,-0.015317586,0.004419897,0.003252035,0,0.004333701,0.007722046,-0.009994531,-0.009820046,54.47222312,3.125,1.4375,2.143754612,53.53324167,74.15940998,54.6453125,55.4889881,57.10192641,7.636757111,0.235955056,0.764044944,0.794039666,0
6/22/2000,0.025124205,-0.016456762,0.033188887,-0.037531999,0.005282632,0.047473855,0.029948762,0.04416442,0.029948762,0.002207506,0.003252035,0,0.004333701,-0.021414095,-0.009994531,57.26201386,3.25,2.8125,2.19152214,53.9611675,139.8253,54.9296875,55.80252976,57.37056006,8.261016241,0.194690265,0.805309735,0.811553539,1
6/28/2000,-0.034013153,0.025124205,-0.016456762,0.033188887,0.004439519,-0.044403613,-0.00221239,-0.019737483,-0.005521825,0.005282632,0.002207506,0.003252035,0,-0.006696454,-0.021414095,52.58493129,3.5,2.125,2.186770559,54.6033274,40.00912929,55.1296875,55.90446429,57.47436418,8.058799428,0.469026549,0.530973451,0.766044657,3
6/29/2000,0.015504187,-0.034013153,0.025124205,-0.016456762,0.00881063,0.014356956,-0.034486176,0.007705046,-0.009820046,0.004439519,0.005282632,0.002207506,0.003252035,0,-0.006696454,54.39651127,-0.375,1,2.102001233,55.16842811,64.72469,55.3234375,56.07068452,57.47598214,8.064005572,0.345132743,0.654867257,0.732601947,0
